description,labels
blunkett row should end  blair  prime minister tony blair said it was time to draw a line under the controversy surrounding david blunkett  the tories and the lib dems have called for a second inquiry into the fasttracking of a visa application for mr blunketts exlovers nanny sir alan budd found a chain of events linked mr blunkett to leoncia casalmes indefinite leave to remain application at the end of his middle east trip mr blair said he still admired mr blunkett and thought his integrity was intact  on tuesday sir alan said the application for leave to remain in the uk made by kimberly quinns nanny was processed in  days  days faster than the average but he could not find evidence to show whether mr blunketts intervention was intended to give special help for his then lovers nanny  or if he was raising the case as an example of poor departmental performance in his first comments since sir alans announcement mr blair told bbc news he had not yet read the report in detail but told bbc news as far as im concerned we have drawn a line under that  asked if mr blunkett could return to frontline politics at some point he replied i have made my admiration for david very clear and it remains hes been a tremendous colleague hes done a great job for us first as home secretary then as education secretary the future is something we will have to approach in the future the prime minister shrugged off claims from conservative leader michael howard that he led a grubby government he said mr blunketts integrity remained intact he was the person first of all who asked for this inquiry to be set up he accepted that what he originally thought had happened had not happened he said but i think sir alan budd also accepted there wasnt some conspiracy or coverup and i just think a line should be drawn under now and we should move on  earlier mr howard said there does need to be another inquiry a judgeled inquiry there were so many questions that werent answered there was deceit at the heart of government which was not limited to the visa affair he argued lib dem home affairs spokesman mark oaten also said there was a strong case for a judgeled judicial review  he said next time it happens it may not be about a nanny and their visa it may be about something even more important than that mr blunkett quit as home secretary last week after being told in advance of sir alans findings in a statement the exhome secretary said he accepted the inquirys findings he said he had told the truth throughout and had raised the nanny case as an example of unacceptable backlogs in the system , politics
kinnock to urge reform in lords  neil kinnock has said his acceptance of a seat in the house of lords will allow him to help achieve further progress with substantial democratic reform  on the bbcs breakfast with frost it was put to mr kinnock that he had once referred to lords members as brigands muggers bribers and gangsters but the outgoing european commissioner said his comments  made some  years ago  needed to be put in context he said advocates for reform needed to be inside the lords to vote for it it was pointed out to me that if the additional democratic reform is going to take place it is going to require advocates in the lords and people there willing to vote for it  mr kinnock added that the second factor behind his acceptance of the peerage was his appointment as chairman of the british council history demonstrates that its immensely useful for the british council to have its chairman in the house of lords and that was a conclusive factor mr kinnock said he thought about the decision for quite a long time because he had long had reservations about the lords but he added the process of reform has developed substantially but not sufficiently and consequently i did take all these factors into consideration because its not a decision to be made glibly the former labour leader said he would probably take the title of lord kinnock of bedwellty  his first constituency for which he was selected in  , politics
profile david miliband  david milibands rapid rise through the ranks of government continues with his promotion to cabinet office minister  elected in a safe labour seat in  his previous job was school standards minister  a role he won in may  prior to the last election he was a key figure in new labour as the head of the downing street policy unit where he was a key member of the manifesto writing team seen as one of the more intellectual figures in the government he was also working for tony blair in his policy unit when he was leader of the opposition  a brief glance at mr milibands family background reveals an impressive socialist pedigree in the form of his father ralph who died in  he was an eminent and influential leftwing academic and while david miliband is seen as a key blair lieutenant his brother ed is a special advisor to chancellor gordon brown prior to working for mr blair david miliband spent time at the leftleaning institute for public policy research he then became secretary of the commission on social justice the yearold was educated at haverstock comprehensive before going on to oxford to study politics philosophy and economics he also took an msc in political science from the massachusetts institute of technology , politics
blair hails turkeyeu talks deal  tony blair has hailed a deal bringing turkey a step closer to eu membership as important for the worlds future peace and prosperity  mr blair has been a leading advocate of turkish membership despite controversy surrounding the idea leaving a brussels summit mr blair said the fact turkey is a muslim country does not mean it should be barred the deal to open formal talks with ankara came despite an eu demand for turkey to recognise cyprus it was agreed the issue can be tackled at a later date but turkish premier recep erdogan had to accept negotiations did not guarantee his country full eu membership  if it joins turkey may have to accept restrictions to limit migration by its citizens mr blair said having turkey in the eu was of importance to the future peace and prosperity of my country britain and the wider world  we are stating a fundamental principle that the fact turkey is a muslim country does not mean it should be barred from europe on the contrary if it fulfils the same principles of human rights then muslim and christian can work together under the agreement turkey must issue a written statement promising to sign an accord effectively recognising the greek cypriot government but gives turkey more time to sell the idea to its people  the internationally recognised southern part of cyprus is an eu member but turkey which occupies northern cyprus had previously insisted it would not bow to demands to recognise the country calling the issue a red line it could take up to  years before turkey is able to join and entry cannot be guaranteed the eu has also announced that it will start accession talks with croatia in april  however talks will begin only if the country cooperates fully with the un war crimes tribunal for the former yugoslavia , politics
talks aim to avert pension strike  talks aimed at averting a series of national strikes over pensions reforms will take place this weekend  five public sector unions will hold private talks with deputy prime minister john prescott at labours spring conference in gateshead they want the government to withdraw regulations  due to be introduced in weeks  which would raise the pension age for council workers from  to  up to m workers could take part in a strike already earmarked for  march however all sides are anxious to avoid a major confrontation in the run up to the general election said bbc labour affairs correspondent stephen cape in four days britains biggest union unison will start balloting  local government workers on strikes other public sector unions have pledged to follow it is just weeks before new regulations are introduced to raise the pension age of local government workers  the five unions meeting mr prescott want the government to withdraw these regulations this would allow months of tough negotiations to follow said our correspondent but a spokesman for mr prescott warned that the changes to the local government pension scheme would have to go ahead in april privately ministers believe this will be the less painful option our correspondent added the public and commercial services union pcs will coordinate any industrial action with up to six other public sector unions pcs leader mark serwotka warned last week that there could be further walkouts unless there was a government rethink for a government that lectures everyone on choice  choice on public service choice on this and choice on that  isnt it ironic that theyre saying to public sector workers there is no choice he said if you want the pension you were promised when you started you must work for an extra five years  that is working until people drop in the th century its completely unacceptable  unisons  workers the transport and general workers unions  and amicus  are among those being balloted about a  march walkout mr prescott held a private meeting with senior union figures last week it is understood no deal was offered in that meeting but there was room for further negotiations , politics
blair to face mps amid feud talk  tony blair faces his first prime ministers questions of  after a week of renewed speculation about his relationship with gordon brown  meanwhile the chancellor is leaving britain on a highprofile tour of africa to highlight poverty issues but before doing so he insisted he still trusted mr blair despite claims to the contrary in a new book labour mps have warned against disunity and tory leader michael howard may well take up the theme in the commons the tories have already accused the prime minister and his chancellor of behaving like schoolboys squabbling in a playground  michael howard is likely to want to capitalise further on the spat when he goes headtohead with the prime minister in the commons at a campaign poster launch on tuesday mr brown was joined by alan milburn who mr blair controversially put in charge of election planning in place of the chancellor  later this week the prime minister is due to set out the themes of his partys next election manifesto which for the past two polls have been drawn up by the chancellor mr brown meanwhile is visiting tanzania mozambique and kenya to highlight the plight of many africans hit by aids war and famine  issues which mr blair has also spoken out on the prime minister and chancellor faced backbench discontent at mondays meeting of the parliamentary labour party over claims made in journalist robert pestons new book mr blair told mps and peers i know from everyone here in cabinet and government nothing is going to get in the way of a unified labour party with a unified position and winning the third term people desperately need labours paul flynn said the pair had had a scorching from mps  on tuesday deputy prime minister mr prescott told bbc news they told us very clearly it was the troops telling the leaders get in line the new book claims mr prescott hosted a dinner in november  where the prime minister told mr brown he would stand down before the next election because he had lost trust over the iraq war mr blair then changed his mind in june  after cabinet allies intervened and amid suspicion the chancellor was manoeuvring against him writes mr peston in mr pestons book mr brown is alleged to have told the prime minister there is nothing you could ever say to me now that i could ever believe , politics
labours election lovein  peace and love have been in short supply in the labour party in recent days  if press reports are to be believed alan milburn and gordon brown have been at each others throats over the contents of labours next election manifesto but the pair were all smiles on tuesday morning as they joined john prescott to unveil labours latest poster campaign the event  at old billingsgate fish market on the banks of the thames  was a carefully choreographed show of unity and the surest sign yet that we are heading for a general election in the next few months it was also one of the most bizarre photo opportunities of recent years  the first inkling something slightly odd was afoot was when  in place of the soft rock music normally chosen for such occasions  labours speakers crackled to life with the sound of booker t and the mgs then a vw camper van trundled into view decked out in that most mindbending of psychedelic messages  lowest mortgage rate for  years as the sidedoor slid open it looked for one glorious moment as if the cabinet had decided to bury their differences and go on the road together scooby doostyle but sadly it wasnt the cabinet who had raided the dressingup box  just six rather illatease looking labour students two were dressed as regency dandies  to unveil a poster trumpeting the longest period of economic growth for  years another pair of students were in a beatle wig and sgt pepper jacket to highlight the lowest interest rates since the s  the remaining two were dressed in a vague approximation of disco chic to demonstrate the lowest unemployment since the seventies  the politicians  led out by john prescott  were soberlysuited as always the event may have been designed to highlight labours economic success under mr brown but there was little doubt who was in charge the chancellor walked sidebyside with mr milburn pointedly exchanging chit chat as they approached the microphone but it was mr milburn who took centre stage speaking of the positive campaign the party hoped to stage in the coming weeks and months  the mobile poster vans would let people know britain is working again mr brown repeated the familiar mantras displayed on the posters and spoke of labours shared purpose and united dedication it was left to mr prescott to pay glowing tribute to the chancellors record and in a final flourish to produce his famous pledge card from  claiming labour has met all of its promises the event was carefully stagemanaged to underline cabinet unity and more specifically to demonstrate the central role mr brown will play in the election campaign despite being sidelined as campaign chief in favour of mr milburn  but keen students of body language will have had a field day there was much forced smiling for the cameras but only mr prescott who revels in such occasions seemed to be truly enjoying himself mr milburn made a point of turning to face the chancellor as he spoke nodding thoughtfully but it was the former health secretarys final gesture placing an arm on mr browns back as they walked away from the microphones which was perhaps the most telling thanks for dropping by gordon he might have been saying , politics
blair moves to woo jewish voters  tony blair has pledged to never ever ever attack tory leader michael howard over his jewish beliefs  the prime minister told the jewish chronicle if you look at what i do i attack michael howard politically mr blair also distanced himself from recent labour campaign posters featuring mr howard which critics claimed were antisemitic these were not intended to cause any offence to anyone on the jewish community mr blair insisted  one poster depicted mr howard and his shadow chancellor oliver letwin who is also jewish as flying pigs another pictured the tory leader swinging a pocket watch on a chain which critics said echoed the jewish money lender shylock in shakespeares merchant of venice  others compared the image to the character fagin in charles dickens oliver twist labour has since taken the designs of its website saying members had preferred other designs during his interview with the jewish chronicle mr blair said ive been a very strong supporter of the jewish community and israel and will always be so pressed on whether he would draw attention to mr howards jewish beliefs in an attempt to attract muslim support he replied the idea that i would allow anybody to make such a charge is outrageous its untrue if you look what i do i attack michael howard politically i would never ever ever attack him on that basis  mr blair also defended his partys attitude towards the jewish community pointing out that it was his government that had introduced the holocaust memorial day he added that labour also aggressively fought all forms of racism  neither the conservatives nor the liberal democrats wished to comment on mr blairs words the prime minister was speaking as londons labour mayor ken livingstone remains embroiled in a row over comments he made to a jewish reporter from the citys evening standard newspaper mr blair repeated calls for the mayor to apologise for likening the reporter oliver finegold to a concentration camp guard mr livingstone should have withdrawn the comment immediately once he realised the journalist was jewish said mr blair im sure that is what in truth he wants to do well he should do it mr livingstone has said he could not sincerely say sorry for the comments he made and claims he has been targeted by the newspaper he conceded his comments may have been offensive but were not racist and said earlier this week he would not apologise even if mr blair asked , politics
brown outlines third term vision  gordon brown has outlined what he thinks should be the key themes of new labours next general election bid  he said ensuring every child in britain had the best start in life could be a legacy to match the nhss creation the chancellor has previously planned the partys election strategy but this time the role will be filled by alan milburn  a key ally of tony blair the premier insisted mr brown will have a key role in labours campaign and praised his handling of the economy  writing in the guardian newspaper mr brown outlined his view of the direction new labour should be taking as our manifesto and our programme for the coming decade should make clear labours ambition is not simply tackling idleness but delivering full employment not just attacking ignorance disease and squalor but promoting lifelong education good health and sustainable communities bbc political editor andrew marr said that mr browns article was a warning shot to mr blair not to try and cut him out of the manifesto writing process it was as always coded and careful but entirely deliberate was mr marrs assessment the prime minister was asked about mr browns article and about his election role when he appeared on bbc radio s today programme mr blair said a decision had yet to be taken over how the election would be run but the chancellors role would be central mr blair argued that under new labour the country had changed for the better and that was in part because of mr browns management of the economy and he pledged childcare would be a centrepiece of labours manifesto he also predicted the next general election will be a tough tough fight for new labour but the prime minister insisted he did not know what date the poll would take place despite speculation about  may mr blair said he was taking nothing for granted ahead of the vote  warning that the tory strategy was to win power via the back door by hinting they were aiming to cut labours majority instead of hoping for an outright win , politics
mps issued with blackberry threat  mps will be thrown out of the commons if they use blackberries in the chamber speaker michael martin has ruled  the  handheld computers can be used as a phone pager or to send emails the devices gained new prominence this week after alastair campbell used his to accidentally send an expletiveladen message to a newsnight journalist mr martin revealed some mps had been using their blackberries during debates and he also cautioned members against using hidden earpieces  the use of electronic devices in the commons chamber has long been frowned on the sound of a mobile phone or a pager can result in a strong rebuke from either the speaker or his deputies the speaker chairs debates in the commons and is charged with ensuring order in the chamber and enforcing rules and conventions of the house he or she is always an mp chosen by colleagues who once nominated gives up all party political allegiances , politics
howard rejects bnps claim  tory leader michael howard has dismissed claims that his immigration policy was moving onto the turf of the british national party bnp  bnp leader nick griffin told the independent he expected some bnp voters to switch to the tories over the issue but mr howard said he rejected the idea that the tories and bnp appealed to the same voting instincts asked if he would welcome bnp voters he told the bbc i dont want anybody to vote for these extremist parties he added on bbc radio s today programme if you want good community relations in this countrythen you have to have firm fair immigration controls  the tories have promised an upper limit on the number of people allowed into britain with the slogan its not racist to impose limits on immigration all parties are stepping up campaiging in the runup to the general election widely expected to be called for  may labour has unveiled its own points system for ensuring migrants who want to work in the uk have skills that are required but have rejected immigration quotas the liberal democrats have warned both parties against pandering to prejudice  mr griffin told the independent the tories plans were a definite move onto our turf he said i quite freely accept that on a nationwide basis the tories will con enough people to make a significant hole in our vote asked whether he was comfortable with the perception that the conservatives and the bnp appeal to the same voting instincts mr howard told the bbc i reject that entirely he said he found bnps policies abhorrent but he said the uk had to take a different approach to immigration which he said was out of control the government doesnt want to limit it in any way we do theres a legitimate difference between us there which we can discuss in a calm rational and reasonable way he said he again rejected newspaper speculation that his own father entered britain illegally , politics
ukip candidate suspended in probe  eurosceptic party ukip have suspended a candidate for allegedly suggesting the criminally insane should be killed  john houston  was due to stand in the east kilbride seat in lanarkshire at the next election but he was suspended after his reported views including the return of the british empire were sent to two scottish newspapers ukip spokesman mark croucher said those who selected mr houston knew nothing of his views the episode comes at a difficult time for ukip soon after the highprofile departure of mep robert kilroysilk mr houston is alleged to have said that the organs of the criminally insane should be made available to lawabiding members of the community and proposed the legalisation of drugs and the sex trade the document reportedly said were looking for the resurrection of the british empire the problems for the human race  environmental and others  can only be dealt with on a global scale and that calls for a radical alliance of the englishspeaking nations which they are uniquely able to do mr croucher said the main issue would be that mr houstons reported views had been presented as ukip policy which they were not he said they might have been submissions to a committee working on the partys manifesto but would not have been matched to mr houston when he was standing to become a candidate he told bbc news he appears to have said these things we have suspended him as a member and as a candidate by all accounts none of this was mentioned at his selection meeting it is simply a distraction from the task in hand the eu constitution not individual idiocies mr houston was quoted in the herald newspaper saying i feel ukip have overreacted and overshot the runway  peter nielson who is ukip scotland chairman said he had suspended mr houston on friday night he will remain suspended while the matter is being investigated and then we will decide if and what further action will be taken he said that any evidence would be looked into and mr houston may be interviewed by the party he added i cant comment too much at the moment i have one version from him but i havent seen the papers yet , politics
eu fraud clampdown urged  eu member states are failing to report fraud and irregularities in eu funds on a consistent basis the uks public spending watchdog has said  the national audit office said although the latest figures showed reported fraud was falling the eu still had no common definition of fraud it also expressed concern that for the th year the european court of auditors had qualified the eu accounts the nao urged the government to push for improvements in reporting fraud it said member states needed to be more accountable on how money was spent the report said member states still do not report fraud and other irregularities to the european antifraud office on a consistent basis  as the court has now qualified its opinion on the community accounts for a decade it is essential for all the authorities involved to contribute to the strengthening of the audit of eu revenue and expenditure and improving accountability for the financial management and use of eu resources it said there were  cases of reported fraud or irregularities in eu funds in the uk in  worth m m euros up from  cases worth m in  at the same time reported fraud throughout the eu dropped from  cases worth m to  cases worth m edward leigh chairman of the commons public accounts committee said britain had to set an example when it assumed the eu presidency  any fraud in other member states is potentially fraud against the uk taxpayer given that we are the second largest net contributor to the community he said departments responsible for administering eu funds need to make sure that theyre doing everything possible to weed out improper spending the government must take the opportunity afforded by the uk presidency of the eu to press the commission and other member states to take an equally robust stance against fraud and irregularity and raise overall standards of financial management a spokesman for the european antifraud office said the organisation agreed with the naos assessment of fraud reporting the quality of reporting does differ from member state to member state and there is room for improvement spokesman jorg wojahn said he added that there is generally good cooperation with member states and the antifraud office on specific cases of fraud with the statistics studied by nao providing a good overview for planning strategic ways of detecting fraud , politics
tories outlining policing plans  local communities would be asked to go to the polls to elect their own area police commissioner under plans unveiled by the conservatives  party leader michael howard said the new role would replace inconspicuous police authorities he said the new office would not supersede the job of a chief constable the lib dems said the plan could let extreme groups run policing while labour criticised extravagant tory promises on policing  responding to the plans the chairman of the police federation of england and wales which represents rank and file officers said it was essential operational independence was retained  jan berry said it is a service not a political football to be kicked around every time an election approaches these plans could result in those with extreme political views dictating what actually happens on the ground she warned outlining his crime manifesto mr howard said elected police commissioners would be more accountable than police authorities which are made up of local councillors and magistrates the commissioner will have the powers which existing police authorities have he told bbc radio s today programme the trouble is and its no reflection on the people who are on the police authority  they are good people  but hardly anyone knows who they are mr howard said the authorities were not providing the local accountability that we want to see and that elected police commissioners would be more visible  critics fear the move could hand control of the police to singleissue campaigners who would ignore the needs of the wider community lord harris who sits on the executive of association of police authorities said the plans seemed to suggest chief constables should be told what to do by a single politician that is overturning nearly  years of the way in which we have organised policing in this country to avoid the politicisation of policing decisions he said  liberal democrat home affairs spokesman mark oaten said the plan was dangerous and could create conflict between chief constables and elected officials mr oaten said local people had too little control over policing but a far better solution would be for elected councillors to draw up a minimum policing guarantee with their chief constables a labour party spokesman criticised michael howards record saying police numbers had fallen by  when he was home secretary he said today the tories are making more extravagant promises on the police without making clear how they would pay for them other than through fantasy savings to the asylum system the tories insists the commissioner role would not be like that of an american sheriff other tory law and order plans include building more prisons and making criminals serve full jail sentences , politics
best person for top legal job  the best person for the job should be appointed lord chancellor and not necessarily a lawyer or mp the courts minister has told mps  under reforms the post of lord chancellor is to be stripped of its judicial functions the lord chancellorno more needs to be a lawyer than the secretary of health needs to be a doctor said courts minister christopher leslie the constitutional reform bill was entering its second reading on monday mr leslie said the prime minister should be able to appoint the best person for the job whether they sit in the house of lords or the house of commons under the reforms the law lords will also be replaced as the uks highest legal authority by a supreme court and judges will be appointed by an independent panel rather than ministers  in december the lords rejected a plea by current lord chancellor lord falconer that the holder of the job should not necessarily be a lawyer or a peer the peers voted by  to  to say in law that lord chancellors must also be peers the debate was carried over from the last parliamentary session but with an impending general election time is crucial for the government to get the bill passed mr leslie said it was irrelevant whether the post was called secretary of state for constitutional affairs or lord chancellor he said what matters most iswhether it is reformed so that the post holder no longer has those conflicting duties it is no longer appropriate for a government minister to have such unfettered discretion in the appointment of judges  shadow attorney general dominic grieve criticised the government on its plans to change what he said was an exceptional institution providing a champion of the independence of the judiciary the government had initially proposed to take this institution and smash it to pieces mr grieve said convention should be nurtured and celebrated but the government distrusted and disliked it instead he warned that unless ministers backed down over the lord chancellor remaining a member of the house of lords the government would have great difficulty in getting the bill through parliament former cabinet minister douglas hogg whose father and grandfather served as lord chancellor said the bill was largely unnecessary bureaucratic and expensive but the tory mp for sleaford and north hykeham admitted the lord chancellors role and office cannot be frozen in aspic , politics
more reforms ahead says milburn  labour will continue to pursue controversial reforms if it wins a third term in power the partys election chief alan milburn has said  he pledged labour would encourage more people to achieve their aspirations what we want is for more people to earn and own mr milburn told bbc radio s today show tory shadow chancellor oliver letwin called labour a brilliant machine for talking about things but said it did not deliver policies the country needs meanwhile the liberal democrats president simon hughes said new labour has lost peoples confidence in a way old labour never did mr milburn told today that labour wanted policies which encouraged increased social mobility in britain  pressed on incapacity benefits he said the tax and welfare system must provide the right incentives to people noone is talking about driving people into work but what we do know is there are one million people on incapacity benefit who want the opportunity to work providing the right level of support is there for them however backbench labour mp karen buck warned against proposed changes in such benefits she told the today programme if the policy is seen as being about how do you make the feckless poor go back to work then it is not going to work on the one hand and it is not going to improve our electoral chances on the other mr milburn also sought to draw a line under the controversy about reports of a feud between gordon brown and prime minister tony blair  he stressed that mr brown would play the same role that he did in the last election mr milburn gave more details of planned reforms in a speech to labours fabian society in which he also praised mr brown as one of the leaders of the partys reform process in the speech he backed choice in schools and hospitals wider home ownership and changes to the welfare system mr milburn insisted that government reform must continue our task is to rebuild the new labour coalition around one nation politics that recognise while life is hard for many all should have the chance to succeed he said there is a glass ceiling on opportunity in this country in our first two terms we have raised it in our third term we have to break it voters turned on the party when it failed to reform industrial relations in the s he also told his audience  oliver letwin said the government had failed to deliver in any of the key public services such as cleaner hospitals discipline in schools and putting more police on the streets he said ministers had not delivered cleaner hospitals with  people dying from infections last year new labour had failed on school discipline because it had not implemented serious reforms so that teachers could run schools and which would give parents choice he went on for the lib dems simon hughes said many pensioners are means tested for the money they needed and students who were told there wouldnt be tuition fees and more debt have been given exactly the opposite he added under new labour all households are still paying unfair council tax rather than a fairer alternative , politics
clarke to unveil immigration plan  new controls on economic migrants and tighter border patrols will be part of government plans unveiled on monday  home secretary charles clarke wants to introduce a points system for economic migrants and increase deportations of failed asylum seekers tony blair has said people are right to be concerned about abuses of the system but there is no magic bullet the tories say labour is acting too late while the lib dems say the plans may not produce an efficient system  the governments new fiveyear plan is designed to show how labour would reform immigration and asylum controls if it wins the election expected to be held in may ministers deny they have been spurred into action by tory campaigning or because the prime minister is worried too little has been done  instead they say the plans are part of an evolving process aimed at winning public confidence mr clarke is expected to announce an end to the automatic right to settle for immigrants families and the introduction of fingerprinting for all visa applicants the prime minister on sunday said immigration would be toughened up to ensure only those immigrants with skills the uk really needs will be granted work permits but he rejected the tories call for a quota on economic migrants saying no arbitrary figure could reflect the uks needs  mr blair told bbc radio s westminster hour we should cut the number or increase it depending on the countrys needs the public are worried about this they are worried rightly because there are abuses of the immigration and asylum system but he defended the uks current regime saying all systems around the world were subject to abuse tory proposals to cap the number of asylum seekers and process all claims abroad would not work argued mr blair  he said we will not be pretending there is some simple easy way of processing britains asylum seekers in some other country because no such other country exists conservative shadow home secretary david davis said the government had failed to remove  failed asylum seekers from the uk and limits on economic migrants had been a shambles what we are seeing today is a rather panicky response from the government after eight years of failure he said liberal democrat home affairs spokesman mark oaten said labour was right to reject the tories idea of quotas on asylum but he said it was yet to be seen if mr clarke could deliver a fair and efficient asylum system , politics
broadband in the uk growing fast  highspeed net connections in the uk are proving more popular than ever  bt reports that more people signed up for broadband in the last three months than in any other quarter the  connections take the total number of people in the uk signing up for broadband from bt to almost  million nationally more than  million browse the net via broadband britain now has among the highest number of broadband connections throughout the whole of europe  according to figures gathered by industry watchdog ofcom the growth means that the uk has now surpassed germany in terms of broadband users per  people the uk total of  million translates into  connections per  people compared to  in germany and  in the netherlands the numbers of people signing up to broadband include those that get their service direct from bt or via the many companies that resell bt lines under their own name part of the surge in people signing up was due to bt stretching the reach of adsl  the uks most widely used way of getting broadband  beyond km  asymmetric digital subscriber line technology lets ordinary copper phone lines support high data speeds the standard speed is kbps though faster connections are available this breakthrough led to a dramatic increase in orders as we were suddenly able to satisfy the pentup demand that existed in many areas said paul reynolds chief executive of bt wholesale which provides phone lines that other firms resell bt retail which sells net services under its own name also had a good quarter and provided about  of the new broadband customers this was a slight increase on the previous three months despite the good news about growth in broadband figures from telecommunications regulator ofcom show that bt faces increasing competition and dwindling influence in other sectors local loop unbundling llu in which bt rivals install their hardware in exchanges and take over the line to a customers home or office is growing steadily cable  wireless and ntl have announced that they are investing millions to start offering llu services by the end of september more than  million phone lines were using socalled carrier presection cps services such as talktalk and onetel which route phone calls across nonbt networks from a local exchange there are now more than  different firms offering cps services and the percentage of people using bt lines for voice calls has shrunk to  , technology
rivals of the  apple  the mac mini is the cheapest apple computer ever but though it is cheap for a mac how does it compare to pcs that cost about the same amount dotlife tries to find out if you can you get more for your money if you stick with the beige box      an extremely small computer that is designed to bring the macintosh to the masses  apple offer a less powerful mac mini for  but the  models has a ghz power pc chip  gigabyte hard drive combined cd burnerdvd player it comes equipped with usb and firewire ports for peripheral connections ethernet port for broadband a port for standard video output and an audioheadphone jackthe machine comes with mac os x the apple operating system the software suite ilife which includes itunes iphoto imovie idvd and garageband  a monitor keyboard or mouse there is also no builtin support for wireless technology or any speakers the lack of a dvd burner is an omission in the age of backingup important software wireless and a dvd burner can be added at extra cost  apple are targeting people who already have a main computer and want to upgrade  especially pc users who have used an apple ipod  compact and stylish the mac mini would not look out of place in any home apple computers are famously user friendly and offer much better network security which means fewer viruses the package of software that comes with the machine is the best money can buy  the mac mini is just a box if you dont already have a monitor etc adding them to the package sees the value for money begin to dwindle macs dont offer the upgrade flexibility of a pc and the machines specifications lack the horse power for tasks such as highend video editing or games  the mac mini puts the macintosh within the reach of everyone an apple spokesman said it will bring more customers to the platform especially pc users and owners    an entrylevel machine designed for basic home use  a ghz intel celeron chip  gigabyte hard drive mb combined cd burnerdvd player it comes equipped with a  inch monitor keyboard and mouse the machine has  usb ports and an ethernet port for broadband connection theres also a port for standard video output the machine comes with windows xp home edition it provides basic home tools such as a media player and word processor  a dvd burner or any wireless components built in wireless and a dvd burner can be added at extra cost  homes and small offices including those looking to add a low cost second computer  cost is the clear advantage the dell provides enough power and software for basic gaming and internet surfing its easily upgradeable so a bigger hard drive better sound and graphics cards can be added  the dell is hardly stylish and the hard drive is on the small size for anyone wanting to store photos or a decent sized digital music collection  this machine is for small businesses and for people who want a second computer for basic home use perhaps in a kids bedroom a spokesman for dell said i think we offer better value once you realise all the extras needed for the mac mini    a desktop computer that pc pro magazine dubbed best performer in a group test of machines that cost only   including vat  a good basic pc that according to pc pro has superb upgrade potential for your money you get a ghz amd sempron processor mb of ram gb hard drive dvd writer inch monitor mouse keyboard and windows xp  much more than the basics it cannot handle d graphics and has no firewire slots  those on a limited budget who want a machine they can add to and improve as their cash allows  its cheap and has plenty of room to improve but that could end up making it expensive in the long run its a good basic workhorse  its not pretty and has a monitor rather than a flatpanel display some of the upgrades offered by jal to the basic model are pricey you might find that you want to chop and change quite quickly  nick ross deputy labs editor at pc pro said the important point about buying a cheap and cheerful pc is the upgrade path interest has switched from processor power to graphics and sound cards as thats what makes the difference in games even manufacturers are not going to be marketing machines as faster he said theyll emphasise the different features    a computer built from bits you buy and put together yourself  a surprisingly good pc sporting an amd athlon xp  processor  megabytes ram a graphics card with  ram on board plus tv out a  gb hard drive cdwriter and dvd player windows xp home  anything else youre building it so you have to buy all the software you want to install and do your own troubleshooting and tech support building your own machine is easier than it used to be but you need to read specifications carefully to make sure all parts work together  experienced and keen pc users building your own pc or upgrading the one you have is a great way to improve your understanding of how it all works  its cheap you can specify exactly what you want and you get the thrill of putting it together yourself and a bigger thrill if everything works as it should  once its built you wont be able to do much with it until you start buying software for it if it starts to go wrong it might take a lot of fixing as gavin cox of the excellent buildyourownorguk website put it it will be tough to obtainbuild a pc to ever be as compact and charming as the mac mini  performancewise its not cutting edge and is barely entrylevel by todays market but up against the mac mini i believe it will hold its own and even pull a few more tricks says gavin cox the good news is that the machine is eminently expandable by contrast says mr cox the mac mini is almost disposable , technology
